Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
164,0.990000009537,3.83806228638,0.970700025558,9.05501937866
165,0.980000019073,3.2655134201,0.971099972725,9.18770694733
166,0.990000009537,4.79391622543,0.971400022507,9.0412569046
167,0.949999988079,23.4555168152,0.972000002861,8.64103889465
168,0.949999988079,12.9272384644,0.976800024509,7.66964244843
169,0.980000019073,6.23266506195,0.977500021458,7.18119716644
170,0.949999988079,11.4733228683,0.974600017071,7.59475898743
171,0.97000002861,10.5512800217,0.970200002193,9.37020397186
172,0.959999978542,12.2905960083,0.96439999342,10.9733257294
173,0.949999988079,13.7764453888,0.96130001545,12.3290481567
174,0.959999978542,11.281619072,0.962199985981,11.924118042
175,0.939999997616,17.3186988831,0.971300005913,8.96160697937
176,0.930000007153,12.1209392548,0.976000010967,7.33443498611
177,0.949999988079,15.7933759689,0.969200015068,9.23182106018
178,0.949999988079,13.5134954453,0.950200021267,15.0178117752
179,0.930000007153,20.1778488159,0.946900010109,16.3490047455
180,0.959999978542,17.1093425751,0.954699993134,14.722158432
181,0.910000026226,27.8843345642,0.956300020218,14.5159187317
182,0.980000019073,5.35171937943,0.961000025272,12.6637201309
183,0.980000019073,6.20222854614,0.962999999523,11.5928668976
184,0.97000002861,11.8134489059,0.964299976826,10.8832445145
185,0.949999988079,15.085310936,0.966300010681,10.2870826721
186,0.949999988079,18.1926689148,0.96749997139,9.83858966827
187,0.949999988079,11.4906435013,0.969799995422,9.16392040253
188,0.980000019073,8.35433769226,0.970600008965,9.15620231628
189,0.949999988079,17.8795166016,0.967700004578,10.1246032715
190,0.939999997616,20.7023334503,0.96590000391,10.5656194687
191,0.980000019073,11.071398735,0.968200027943,10.0199747086
192,0.97000002861,12.8700580597,0.969299972057,9.57600879669
193,0.949999988079,10.4689302444,0.97000002861,9.24919128418
194,0.959999978542,17.6116924286,0.970600008965,9.37563610077
195,0.97000002861,9.63454532623,0.967700004578,10.1927604675
196,0.959999978542,21.0973148346,0.965499997139,10.9426231384
197,0.959999978542,7.40252733231,0.965399980545,11.2458076477
